date,week,medical,name,time
2018-02-01,木曜日,指定なし,白石病院,08:30〜翌08:30
2018-02-02,金曜日,指定なし,木原病院,08:30〜翌08:30
2018-02-03,土曜日,指定なし,今治第一病院,08:30〜翌08:30
2018-02-04,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2018-02-04,日曜日,内科,鈴木病院,09:00〜17:30
2018-02-04,日曜日,小児科,県立今治病院,09:00〜17:00
2018-02-04,日曜日,指定なし,喜多嶋診療所,09:00〜17:00
2018-02-05,月曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2018-02-06,火曜日,指定なし,県立今治病院,08:30〜翌08:30
2018-02-07,水曜日,指定なし,今治セントラル病院,08:30〜翌08:30
2018-02-08,木曜日,指定なし,済生会今治病院,08:30〜翌08:30
2018-02-09,金曜日,指定なし,今治第一病院,08:30〜翌08:30
2018-02-10,土曜日,指定なし,木原病院,08:30〜翌08:30
2018-02-11,祝日,指定なし,医師会市民病院,08:30〜翌08:30
2018-02-11,祝日,指定なし,有津むらかみクリニック,09:00〜17:00
2018-02-11,祝日,小児科,あおい小児科,09:00〜17:00
2018-02-11,祝日,内科,医師会市民病院,09:00〜17:30
2018-02-12,祝日,指定なし,瀬戸内海病院,08:30〜翌08:30
2018-02-12,祝日,指定なし,松浦医院,09:00〜17:00
2018-02-12,祝日,小児科,武田医院,09:00〜17:00
2018-02-13,火曜日,指定なし,広瀬病院,08:30〜翌08:30
2018-02-14,水曜日,指定なし,今治セントラル病院,08:30〜翌08:30
2018-02-15,木曜日,指定なし,白石病院,08:30〜翌08:30
2018-02-16,金曜日,指定なし,県立今治病院,08:30〜翌08:30
2018-02-17,土曜日,指定なし,医師会市民病院,08:30〜翌08:30
2018-02-18,日曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2018-02-18,日曜日,指定なし,大三島中央病院,09:00〜17:00
2018-02-18,日曜日,小児科,瀬戸内海病院,09:00〜17:00
2018-02-19,月曜日,指定なし,今治第一病院,08:30〜翌08:30
2018-02-20,火曜日,指定なし,今治セントラル病院,08:30〜翌08:30
2018-02-21,水曜日,指定なし,済生会今治病院,08:30〜翌08:30
2018-02-22,木曜日,指定なし,白石病院,08:30〜翌08:30
2018-02-23,金曜日,指定なし,木原病院,08:30〜翌08:30
2018-02-24,土曜日,指定なし,今治第一病院,08:30〜翌08:30
2018-02-25,日曜日,指定なし,白石病院,08:30〜17:30
2018-02-25,日曜日,指定なし,斎藤クリニック,09:00〜17:00
2018-02-25,日曜日,指定なし,医師会市民病院,17:30〜翌08:30
2018-02-25,日曜日,小児科,松本小児科,09:00〜17:00
2018-02-26,月曜日,指定なし,広瀬病院,08:30〜翌08:30
2018-02-27,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2018-02-28,水曜日,指定なし,県立今治病院,08:30〜翌08:30
