date,week,medical,name,time
2022-03-01,火曜日,指定なし,今治第一病院,08:30〜翌08:30
2022-03-02,水曜日,指定なし,県立今治病院,08:30〜翌08:30
2022-03-03,木曜日,指定なし,済生会今治病院,08:30〜翌08:30
2022-03-04,金曜日,指定なし,木原病院,08:30〜翌08:30
2022-03-05,土曜日,指定なし,今治第一病院,08:30〜17:30
2022-03-05,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2022-03-06,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2022-03-06,日曜日,指定なし,斎藤クリニック,09:00〜17:00
2022-03-06,日曜日,小児科,県立今治病院,09:00〜17:00
2022-03-07,月曜日,指定なし,広瀬病院,08:30〜翌08:30
2022-03-08,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2022-03-09,水曜日,指定なし,県立今治病院,08:30〜17:15 / 22:30〜翌08:30
2022-03-09,水曜日,指定なし,今治セントラルクリニック,17:15〜22:30
2022-03-10,木曜日,指定なし,白石病院,08:30〜翌08:30
2022-03-11,金曜日,指定なし,今治第一病院,08:30〜翌08:30
2022-03-12,土曜日,指定なし,木原病院,08:30〜17:30
2022-03-12,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2022-03-13,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2022-03-13,日曜日,指定なし,片山医院,09:00〜17:00
2022-03-13,日曜日,小児科,医師会市民病院,09:00〜17:00
2022-03-13,日曜日,内科,医師会市民病院,09:00〜17:30
2022-03-14,月曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2022-03-15,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2022-03-16,水曜日,指定なし,木原病院,08:30〜翌08:30
2022-03-17,木曜日,指定なし,今治第一病院,08:30〜翌08:30
2022-03-18,金曜日,指定なし,県立今治病院,08:30〜翌08:30
2022-03-19,土曜日,指定なし,医師会市民病院,08:30〜翌08:30
2022-03-20,日曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2022-03-20,日曜日,指定なし,はかた外科胃腸科,09:00〜17:00
2022-03-20,日曜日,小児科,済生会今治病院,09:00〜17:00
2022-03-21,祝日,指定なし,広瀬病院,08:30〜翌08:30
2022-03-21,祝日,指定なし,しのざき整形外科,09:00〜17:00
2022-03-21,祝日,小児科,丹こどもクリニック,09:00〜17:00
2022-03-22,火曜日,指定なし,今治第一病院,08:30〜翌08:30
2022-03-23,水曜日,指定なし,済生会今治病院,08:30〜翌08:30
2022-03-24,木曜日,指定なし,白石病院,08:30〜翌08:30
2022-03-25,金曜日,指定なし,木原病院,08:30〜翌08:30
2022-03-26,土曜日,指定なし,竹内外科,00:00〜翌08:30
2022-03-26,土曜日,指定なし,白石病院,08:30〜17:30
2022-03-26,土曜日,指定なし,今治セントラルクリニック,17:30〜00:00
2022-03-27,日曜日,指定なし,放射線第一病院,08:30〜17:30
2022-03-27,日曜日,指定なし,喜多嶋診療所,09:00〜17:00
2022-03-27,日曜日,指定なし,今治第一病院,17:30〜翌08:30
2022-03-27,日曜日,小児科,あおい小児科,09:00〜17:00
2022-03-28,月曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2022-03-29,火曜日,指定なし,県立今治病院,08:30〜翌08:30
2022-03-30,水曜日,指定なし,木原病院,08:30〜翌08:30
2022-03-31,木曜日,指定なし,白石病院,08:30〜翌08:30
