date,week,medical,name,time
2020-10-01,木曜日,指定なし,白石病院,08:30〜翌08:30
2020-10-02,金曜日,指定なし,木原病院,08:30〜翌08:30
2020-10-03,土曜日,指定なし,白石病院,08:30〜17:30
2020-10-03,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2020-10-04,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2020-10-04,日曜日,指定なし,斎藤クリニック,09:00〜17:00
2020-10-04,日曜日,小児科,県立今治病院,09:00〜17:00
2020-10-05,月曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2020-10-06,火曜日,指定なし,今治第一病院,08:30〜翌08:30
2020-10-07,水曜日,指定なし,済生会今治病院,08:30〜翌08:30
2020-10-08,木曜日,指定なし,白石病院,08:30〜翌08:30
2020-10-09,金曜日,指定なし,県立今治病院,08:30〜翌08:30
2020-10-10,土曜日,指定なし,木原病院,08:30〜17:30
2020-10-10,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2020-10-11,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2020-10-11,日曜日,指定なし,片山医院,09:00〜17:00
2020-10-11,日曜日,小児科,丹こどもクリニック,09:00〜17:00
2020-10-11,日曜日,内科,医師会市民病院,09:00〜17:30
2020-10-12,月曜日,指定なし,広瀬病院,08:30〜翌08:30
2020-10-13,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2020-10-14,水曜日,指定なし,木原病院,08:30〜翌08:30
2020-10-15,木曜日,指定なし,県立今治病院,08:30〜翌08:30
2020-10-16,金曜日,指定なし,今治第一病院,08:30〜翌08:30
2020-10-17,土曜日,指定なし,医師会市民病院,08:30〜翌08:30
2020-10-18,日曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2020-10-18,日曜日,指定なし,はかた外科胃腸科,09:00〜17:00
2020-10-18,日曜日,小児科,瀬戸内海病院,09:00〜17:00
2020-10-19,月曜日,指定なし,広瀬病院,08:30〜翌08:30
2020-10-20,火曜日,指定なし,今治第一病院,08:30〜翌08:30
2020-10-21,水曜日,指定なし,県立今治病院,08:30〜17:15 / 22:30〜翌08:30
2020-10-21,水曜日,指定なし,今治南病院,17:15〜22:30
2020-10-22,木曜日,指定なし,済生会今治病院,08:30〜翌08:30
2020-10-23,金曜日,指定なし,木原病院,08:30〜翌08:30
2020-10-24,土曜日,指定なし,今治第一病院,08:30〜17:30
2020-10-24,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2020-10-25,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2020-10-25,日曜日,指定なし,しのざき整形外科,09:00〜17:00
2020-10-25,日曜日,小児科,医師会市民病院,09:00〜17:00
2020-10-25,日曜日,内科,医師会市民病院,09:00〜17:30
2020-10-26,月曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2020-10-27,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2020-10-28,水曜日,指定なし,県立今治病院,08:30〜翌08:30
2020-10-29,木曜日,指定なし,白石病院,08:30〜翌08:30
2020-10-30,金曜日,指定なし,今治第一病院,08:30〜翌08:30
2020-10-31,土曜日,指定なし,木原病院,08:30〜17:30
2020-10-31,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
